회원코드,프로그램,상태,프로그램가격,최종결제금액,결제시각,결제유형,채널,보조식품가격,보조식품(추가구매)
EW9A5AZU,체중감량 프로그램 (타입B),completed,44780,44780,2017-05-24 오전 8:10:07.968000,Recurring,others,0,구매안함
LY7QDS9A,체중감량 프로그램 (타입B),cancelled,112500,112500,2017-05-25 오후 2:49:28.944000,Recurring,google,0,구매안함
4UJ4KVEW,체중감량 프로그램 (타입 A),completed,112500,129500,2017-06-08 오전 10:10:24.888000,Recurring,facebook,17000,식이요법보조제A
1QG5IBQ8,체중감량 프로그램 (타입 A),cancelled,112500,129500,2017-07-25 오후 11:23:08.040000,Recurring,facebook,0,구매안함
AUV1I9C5,체중감량 프로그램 (타입 A),completed,112500,129500,2017-08-03 오후 8:55:27.592000,Recurring,facebook,17000,식이요법보조제A
VP9MJ136,체중감량 프로그램 (타입B),cancelled,112500,129500,2017-03-14 오후 11:06:16.592000,Recurring,facebook,0,구매안함
WWBCUQMX,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-11 오전 1:57:28.784000,Recurring,naver,0,구매안함
PBH7HW69,체중감량 프로그램 (타입B),completed,112500,112500,2017-05-17 오후 10:50:45.904000,Recurring,others,0,구매안함
SP9TNRZN,체중감량 프로그램 (타입B),completed,112500,112500,2017-05-01 오후 11:06:10.872000,Recurring,facebook,0,구매안함
3L1L7NNK,체중감량 프로그램 (타입B),completed,44780,44780,2017-04-17 오후 11:04:12.280000,Recurring,direct,0,구매안함
R63X6UJM,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-06-03 오전 2:09:20.232000,Recurring,facebook,0,구매안함
M9JM961B,체중감량 프로그램 (타입 A),completed,112500,112500,2017-06-06 오후 2:26:03.208000,Recurring,facebook,0,구매안함
IQEXPZUV,체중감량 프로그램 (타입B),refunded,112500,112500,2017-04-09 오후 1:24:12.336000,Recurring,facebook,0,구매안함
9IDOIVYB,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-08-09 오후 12:32:31.416000,Recurring,others,0,구매안함
WHZ3X1KC,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-18 오후 11:12:12.712000,Recurring,facebook,0,구매안함
G2B61KW8,체중감량 프로그램 (타입 A),cancelled,68900,85900,2017-08-16 오후 11:39:10.144000,Recurring,facebook,0,구매안함
SOWHMGP4,체중감량 프로그램 (타입B),completed,112500,112500,2017-05-06 오후 9:53:27.296000,Recurring,facebook,0,구매안함
Q851VWMK,체중감량 프로그램 (타입B),completed,112500,129500,2017-04-15 오전 10:06:04.784001,Recurring,facebook,17000,식이요법보조제A
QV8PLYBY,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-15 오후 1:37:17.360000,Recurring,facebook,0,구매안함
96GDW0G3,체중감량 프로그램 (타입 A),completed,112500,112500,2017-06-15 오후 6:49:22.960000,Recurring,naver,0,구매안함
HW7G16ND,체중감량 프로그램 (타입 A),completed,112500,112500,2017-06-07 오후 1:55:26.335999,Recurring,direct,0,구매안함
0L56UBET,체중감량 프로그램 (타입B),cancelled,112500,129500,2017-03-21 오후 11:40:35.072000,Recurring,facebook,0,구매안함
7AHEMU7C,체중감량 프로그램 (타입 A),completed,112500,112500,2017-07-04 오후 6:23:02.608000,Recurring,direct,0,구매안함
FPFXJNJ2,체중감량 프로그램 (타입B),completed,44780,44780,2017-05-07 오전 12:04:11.928000,Recurring,facebook,0,구매안함
YCMTZCH7,체중감량 프로그램 (타입B),cancelled,112500,129500,2017-05-06 오후 2:04:31.056000,Recurring,facebook,0,구매안함
732EGSEU,체중감량 프로그램 (타입 A),cancelled,68900,68900,2017-06-10 오후 7:23:52.648000,Recurring,direct,0,구매안함
CPKJF00W,체중감량 프로그램 (타입 A),cancelled,112500,129500,2017-07-27 오후 3:19:30.760000,Recurring,facebook,0,구매안함
0SM7RLRG,체중감량 프로그램 (타입B),completed,112500,112500,2017-05-03 오전 12:00:42.240000,Recurring,others,0,구매안함
FBNX3DKH,체중감량 프로그램 (타입 A),completed,112500,112500,2017-06-25 오후 7:46:07.112000,Recurring,facebook,0,구매안함
FP4PJPNG,체중감량 프로그램 (타입 A),cancelled,112500,129500,2017-08-16 오전 10:23:11.680000,Recurring,facebook,0,구매안함
6VXB0U0F,체중감량 프로그램 (타입 A),completed,112500,112500,2017-07-28 오전 1:12:15.040000,Recurring,facebook,0,구매안함
XQPSGKVA,체중감량 프로그램 (타입B),cancelled,112500,112500,2017-04-17 오후 4:39:54.016000,Recurring,others,0,구매안함
PAQS0OUQ,체중감량 프로그램 (타입B),completed,112500,112500,2017-05-24 오전 9:23:26.680000,Recurring,others,0,구매안함
J6GBILJC,체중감량 프로그램 (타입B),cancelled,112500,112500,2017-05-03 오전 1:53:27.056000,Recurring,google,0,구매안함
FP3YAPG5,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-07-03 오후 9:01:28.752000,Recurring,naver,0,구매안함
RCLES3DF,체중감량 프로그램 (타입B),completed,112500,112500,2017-04-05 오후 1:14:24.712000,Recurring,direct,0,구매안함
E3JZXQXC,체중감량 프로그램 (타입 A),refunded,112500,112500,2017-08-09 오후 7:37:04.192000,Recurring,facebook,40000,단백질보충제B
Z9O1LM17,체중감량 프로그램 (타입 A),completed,112500,112500,2017-07-26 오후 10:24:31.024000,Recurring,facebook,0,구매안함
IXTD7OFO,체중감량 프로그램 (타입 A),completed,68900,68900,2017-06-01 오후 7:46:05.920000,Recurring,facebook,0,구매안함
CLKMNQCE,체중감량 프로그램 (타입B),refunded,112500,112500,2017-04-27 오전 9:44:36.928000,Recurring,naver,0,구매안함
PISZVIMI,체중감량 프로그램 (타입B),completed,112500,112500,2017-05-13 오후 4:24:33.064000,Recurring,facebook,0,구매안함
ETRNBHFE,체중감량 프로그램 (타입 A),completed,112500,112500,2017-06-12 오전 9:48:45.288000,Recurring,facebook,0,구매안함
1RA4EWSE,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-06-19 오전 2:21:18.824001,Recurring,facebook,0,구매안함
XDLM8ILR,체중감량 프로그램 (타입B),completed,44780,44780,2017-04-24 오전 10:21:18.824000,Recurring,others,0,구매안함
DHPX3R4H,체중감량 프로그램 (타입 A),completed,112500,112500,2017-06-10 오후 1:06:26.168000,Recurring,facebook,0,구매안함
QPJUWN7Z,체중감량 프로그램 (타입B),completed,112500,112500,2017-03-18 오후 5:05:50.632000,Recurring,facebook,0,구매안함
3QPD8JLB,체중감량 프로그램 (타입 A),completed,118000,118000,2017-06-11 오전 12:20:02.992000,Recurring,others,0,구매안함
BBFZ6RAW,체중감량 프로그램 (타입B),completed,112500,112500,2017-05-12 오후 6:31:27.848000,Recurring,facebook,0,구매안함
QDZM3KY0,체중감량 프로그램 (타입 A),completed,112500,129500,2017-07-24 오후 10:14:18.040000,Recurring,facebook,17000,식이요법보조제A
5D3QTOWQ,체중감량 프로그램 (타입B),completed,112500,112500,2017-05-07 오후 10:51:15.416000,Recurring,instagram,0,구매안함
4LGVXHEY,체중감량 프로그램 (타입 A),completed,112500,129500,2017-07-02 오후 7:12:04.160000,Recurring,facebook,17000,식이요법보조제A
0RXTEQ42,체중감량 프로그램 (타입B),completed,112500,129500,2017-04-20 오후 2:32:21.672000,Recurring,facebook,17000,식이요법보조제A
US2LWS6V,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-15 오후 7:10:05.928000,Recurring,email,0,구매안함
V98S2JA8,체중감량 프로그램 (타입 A),completed,112500,112500,2017-06-30 오전 11:07:19.664000,Recurring,facebook,0,구매안함
C5IGA6QI,체중감량 프로그램 (타입B),completed,112500,129500,2017-05-09 오전 12:31:48.848000,Recurring,facebook,17000,식이요법보조제A
2JWLI244,체중감량 프로그램 (타입 A),refunded,112500,112500,2017-07-28 오전 9:13:41.192000,Recurring,facebook,0,구매안함
LFE9N2Y3,체중감량 프로그램 (타입B),cancelled,112500,112500,2017-04-24 오후 12:42:21.984000,Recurring,others,0,구매안함
X5LGQRL9,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-28 오후 9:57:50.192000,Recurring,others,0,구매안함
6K2CANSV,체중감량 프로그램 (타입 A),completed,112500,129500,2017-08-26 오전 8:24:20.880000,Recurring,facebook,17000,식이요법보조제A
XH2KN4KC,체중감량 프로그램 (타입B),completed,112500,112500,2017-05-09 오후 11:57:05.840000,Recurring,others,0,구매안함
88LW79WP,체중감량 프로그램 (타입B),completed,112500,112500,2017-05-10 오전 11:34:58.384000,Recurring,others,0,구매안함
QIE9TIPI,체중감량 프로그램 (타입B),cancelled,112500,112500,2017-04-18 오후 8:08:09.856000,Recurring,others,0,구매안함
6P4UG7M5,체중감량 프로그램 (타입 A),completed,177000,194000,2017-06-03 오후 6:11:08.296000,Recurring,facebook,17000,식이요법보조제A
M9GGI3MB,체중감량 프로그램 (타입 A),completed,112500,129500,2017-08-12 오후 9:45:56.864000,Recurring,facebook,17000,식이요법보조제A
UPUSTBL2,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-06-02 오전 2:12:39.160000,Recurring,facebook,0,구매안함
4SR0ZPOM,체중감량 프로그램 (타입B),completed,112500,112500,2017-04-27 오후 12:42:28.424000,Recurring,facebook,0,구매안함
4I4OAAZF,체중감량 프로그램 (타입B),cancelled,112500,112500,2017-04-23 오후 4:04:02.240000,Recurring,others,0,구매안함
4QQ7D9SW,체중감량 프로그램 (타입 A),cancelled,112500,129500,2017-08-11 오후 5:32:15.024000,Recurring,facebook,0,구매안함
LGZA3XCM,체중감량 프로그램 (타입B),cancelled,112500,112500,2017-04-24 오전 10:33:55.744000,Recurring,others,0,구매안함
2HYTVZ13,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-08-19 오전 8:32:56.624000,Recurring,facebook,0,구매안함
186EIXC4,체중감량 프로그램 (타입 A),completed,112500,112500,2017-06-07 오후 9:30:15.296000,Recurring,facebook,0,구매안함
UYS1QY4S,체중감량 프로그램 (타입 A),completed,112500,129500,2017-08-18 오후 1:37:31.336000,Recurring,facebook,17000,식이요법보조제A
OO58MAR8,체중감량 프로그램 (타입B),completed,44780,44780,2017-05-09 오후 11:25:05.048000,Recurring,facebook,0,구매안함
21VNB9SE,체중감량 프로그램 (타입B),completed,112500,112500,2017-04-24 오전 11:17:04.064000,Recurring,others,0,구매안함
1WAH8NSP,체중감량 프로그램 (타입B),completed,56250,73250,2017-05-01 오후 3:49:03.744000,Recurring,facebook,17000,식이요법보조제A
6O5Z8O9A,체중감량 프로그램 (타입B),cancelled,112500,112500,2017-05-17 오전 10:59:29.368000,Recurring,direct,0,구매안함
KPA99HTZ,체중감량 프로그램 (타입 A),completed,112500,129500,2017-08-10 오후 12:32:01.968000,Recurring,facebook,17000,식이요법보조제A
90PR2CWP,체중감량 프로그램 (타입 A),cancelled,112500,129500,2017-07-31 오전 6:00:08.744000,Recurring,facebook,0,구매안함
RA4A556T,체중감량 프로그램 (타입B),completed,112500,112500,2017-03-14 오후 6:24:50.016000,Recurring,facebook,0,구매안함
BMU451CU,체중감량 프로그램 (타입 A),cancelled,112500,112500,2017-06-19 오후 8:41:59.944000,Recurring,facebook,0,구매안함
SUV7XBZT,체중감량 프로그램 (타입 A),completed,112500,112500,2017-08-08 오후 7:45:54.024000,Recurring,facebook,0,구매안함
