기준연도,시군명,연령대,성별,결제건수,결제금액,결제취소건수,결제취소금액,1회평균결제금액
2023,시흥시,60대,남,193383,5156733258,393,22542301,26666
2023,시흥시,60대,여,374144,9134372355,1156,69027527,24414
2023,시흥시,70대,남,31308,937030454,97,5857875,29929
2023,시흥시,70대,여,39194,1168239291,162,9614431,29807
2023,시흥시,80대이상,남,4508,126414752,14,735643,28042
2023,시흥시,80대이상,여,4628,169094829,25,1854846,36537
2023,안산시,10,남,94491,2045782191,453,19357833,21651
2023,안산시,10,여,99022,2325482872,640,29272245,23485
2023,안산시,20,남,763623,11638177061,4077,103159812,15241
2023,안산시,20,여,743816,13163199663,5451,147587449,17697
2023,안산시,30,남,696712,12908135529,3880,124105459,18527
2023,안산시,30,여,779191,16554173593,5506,187724024,21245
2023,안산시,40,남,947952,21772576278,5194,184131488,22968
2023,안산시,40,여,1250049,27948916874,8428,288617860,22358
2023,안산시,50,남,1020951,18918971114,5328,141105346,18531
2023,안산시,50,여,1260199,23283115750,9465,238047352,18476
2023,안산시,60,남,654338,11161164741,4404,104063544,17057
2023,안산시,60,여,716953,12976049404,6493,165882656,18099
2023,안산시,70,남,159706,2741066555,1388,29888693,17163
2023,안산시,70,여,182903,3150241815,1644,39598452,17224
2023,안산시,80,남,33424,551649459,246,5968434,16505
2023,안산시,80,여,35382,636143109,269,6514980,17979
2023,안산시,기타,-,7300,145102250,62,1046447,19877
2023,안성시,10,남,24377,407733461,108,2698560,16726
2023,안성시,10,여,20108,410417776,111,3068461,20411
2023,안성시,20,남,199852,3362218987,1327,54527591,16824
2023,안성시,20,여,175406,3349484784,1363,35865390,19096
2023,안성시,30,남,252114,5452554146,1909,88974559,21627
2023,안성시,30,여,239155,6273797491,1964,77910685,26233
2023,안성시,40,남,435607,13009208677,2688,135898939,29865
2023,안성시,40,여,476804,14863500464,3433,162569785,31173
2023,안성시,50,남,364893,8468770684,2396,122244179,23209
2023,안성시,50,여,308528,7579266149,2367,76310543,24566
2023,안성시,60,남,207047,5141500099,1367,58985588,24833
2023,안성시,60,여,175920,4632050940,1392,50332765,26330
2023,안성시,70,남,60259,1592598394,510,22250854,26429
2023,안성시,70,여,44559,1200970910,415,13645950,26952
2023,안성시,80,남,9363,232269798,82,2595741,24807
2023,안성시,80,여,8908,244818487,86,1711762,27483
2023,안양시,10,남,91619,2828493429,482,31998452,30872
2023,안양시,10,여,100067,2819235189,603,37891585,28173
2023,안양시,20,남,685303,10649057202,3570,92024870,15539
2023,안양시,20,여,738005,13082752218,5070,133524765,17727
2023,안양시,30,남,1007400,21499598420,5544,225223236,21342
2023,안양시,30,여,1210249,28357116294,8061,378809778,23431
2023,안양시,40,남,1290441,36341594160,7025,367144345,28162
2023,안양시,40,여,1698078,44865794937,10497,506154639,26422
2023,안양시,50,남,960815,20457467524,4929,178752093,21292
2023,안양시,50,여,1242827,23648980803,7441,230479948,19028
2023,안양시,60,남,535335,9262509665,2747,70521243,17302
2023,안양시,60,여,724719,13125167865,4730,139125412,18111
2023,안양시,70,남,120186,2191875890,662,19786655,18237
2023,안양시,70,여,148047,2745364889,1046,30675922,18544
2023,안양시,80,남,16902,315459920,107,3067326,18664
2023,안양시,80,여,25733,465438542,167,4973935,18087
2023,안양시,기타,-,555584,7933833021,3592,56422132,14280
2023,양주시,10,남,25646,465590885,136,7461548,18155
2023,양주시,10,여,28600,565941380,184,5535265,19788
2023,양주시,20,남,150790,2830268104,1350,70006930,18770
2023,양주시,20,여,153843,3239106155,1487,57913541,21055
2023,양주시,30,남,218956,6068997033,2368,178722885,27718
2023,양주시,30,여,298789,9286019613,2775,175603636,31079
2023,양주시,40,남,408889,13104534328,3561,274504749,32049
2023,양주시,40,여,598213,18548817928,4786,261040404,31007
2023,양주시,50,남,273395,6852327543,2494,161762542,25064
2023,양주시,50,여,246732,6135624661,2051,93207993,24868
2023,양주시,60,남,114799,2665809771,1027,77012509,23222
2023,양주시,60,여,97274,2433696933,861,38338981,25019
2023,양주시,70,남,27472,675631720,290,15552865,24593
2023,양주시,70,여,26153,609544003,227,10267967,23307
2023,양주시,80,남,6328,140416153,38,1666018,22190
2023,양주시,80,여,4658,110145510,30,1382200,23647
2023,양주시,기타,-,74436,2372052022,625,30980652,31867
2023,양평군,10,남,32986,647236901,194,7717169,19622
2023,양평군,10,여,24116,544649470,188,9494408,22585
2023,양평군,20,남,104197,2385389492,1082,49643294,22893
2023,양평군,20,여,97219,2298819302,1082,39624764,23646
2023,양평군,30,남,147553,3644438886,1431,82573311,24699
2023,양평군,30,여,172669,4241430884,1908,79400612,24564
2023,양평군,40,남,285334,7166732071,2602,135315715,25117
2023,양평군,40,여,397768,9405486379,3428,128400758,23646
2023,양평군,50,남,311945,7670394294,2586,133570300,24589
2023,양평군,50,여,354930,9009146411,3289,140545259,25383
2023,양평군,60,남,303887,8436972073,3257,190514288,27764
2023,양평군,60,여,296321,8221654476,3145,155686236,27746
2023,양평군,70,남,124503,3481573579,1259,71239673,27964
2023,양평군,70,여,98783,2669744921,973,40022292,27026
2023,양평군,80,남,23206,656178957,227,10646579,28276
2023,양평군,80,여,15021,408132339,148,7176950,27171
2023,양평군,기타,-,142849,4716302088,1174,57623445,33016
2023,여주시,10,남,9978,176123021,44,2121230,17651
2023,여주시,10,여,10519,250233806,80,3015865,23789
2023,여주시,20,남,87458,1916512434,568,22114986,21914
2023,여주시,20,여,87172,2047625627,802,24020799,23489
2023,여주시,30,남,140578,3305396564,952,37834451,23513
2023,여주시,30,여,175955,4690551055,1476,58372942,26658
2023,여주시,40,남,270758,7732434695,1667,70292891,28558
2023,여주시,40,여,355729,10421242953,2527,104816193,29295
2023,여주시,50,남,249385,6592355933,1431,61417277,26434
2023,여주시,50,여,230729,6590619845,1661,78513847,28564
2023,여주시,60,남,136996,3848898821,828,38256023,28095
2023,여주시,60,여,128852,3860003211,1063,45711125,29957
2023,여주시,70,남,52132,1457172126,349,16032475,27952
2023,여주시,70,여,37624,1085957003,316,12266654,28863
2023,여주시,80이상,남,7836,208579731,46,1818220,26618
2023,여주시,80이상,여,5688,168146332,52,1880054,29562
2023,연천군,10,남,3582,71690250,56,3769950,20014
2023,연천군,10,여,4808,95269987,58,1795294,19815
2023,연천군,20,남,78632,1785876325,1129,63194701,22712
2023,연천군,20,여,46392,1042435031,688,28822241,22470
2023,연천군,30,남,93640,2254946864,1022,50638648,24081
2023,연천군,30,여,65267,1705131314,857,29567143,26125
2023,연천군,40,남,100409,2897997210,870,50377921,28862
2023,연천군,40,여,116568,3336603223,1203,51028555,28624
2023,연천군,50,남,101673,2647225134,937,53708455,26037
2023,연천군,50,여,86186,2367322312,882,42128176,27468
2023,연천군,60,남,66474,1836944233,557,32436395,27634
2023,연천군,60,여,54575,1582191843,582,26577015,28991
2023,연천군,70,남,16705,461885932,196,9733230,27650
2023,연천군,70,여,15081,428866542,171,9696935,28438
2023,연천군,80,남,3755,120705794,62,3352855,32145
2023,연천군,80,여,4245,122874180,40,2168690,28946
2023,연천군,기타,-,156935,5026270653,1881,115294565,32028
2023,오산시,10,남,23779,586157374,130,3812783,24650
2023,오산시,10,여,23241,568792500,136,6253213,24474
2023,오산시,20,남,153833,2672515646,974,23430328,17373
2023,오산시,20,여,153733,3125447612,1248,35587049,20330
2023,오산시,30,남,222796,5285402690,1583,52205195,23723
2023,오산시,30,여,268852,7401479121,1973,81272852,27530
2023,오산시,40,남,447879,14128239934,2914,129788459,31545
2023,오산시,40,여,552971,16026493888,3543,158266661,28983
2023,오산시,50,남,250573,5912385274,1268,44485910,23595
2023,오산시,50,여,238683,5311002886,1420,52113480,22251
2023,오산시,60,남,100606,2013742595,503,16145517,20016
2023,오산시,60,여,109487,2350841074,705,22063087,21471
2023,오산시,70,남,30181,631093331,142,5588858,20910
2023,오산시,70,여,34413,731174792,229,6049872,21247
2023,오산시,80,남,5229,93845423,30,652760,17947
2023,오산시,80,여,5858,143849472,44,1118446,24556
2023,오산시,기타,-,21763,593337621,160,5669377,27264
2023,용인시,10,남,155943,3906547243,887,56148563,25051
2023,용인시,10,여,156598,3941243189,1017,55236273,25168
2023,용인시,20,남,772178,13314865486,6320,223957336,17243
2023,용인시,20,여,811950,15545145176,7319,244047185,19145
2023,용인시,30,남,992973,25073140971,8898,515488806,25251
2023,용인시,30,여,1428816,38914890877,11975,638725683,27236
2023,용인시,40,남,1951095,66060576643,16357,944086255,33858
2023,용인시,40,여,2980916,87997827040,22640,1132132699,29520
2023,용인시,50,남,1120571,27751438191,7061,375012745,24765
2023,용인시,50,여,1138622,26052484181,8335,333550797,22881
2023,용인시,60,남,406891,8499687173,2928,153151811,20889
2023,용인시,60,여,392799,9369787320,3266,136180525,23854
2023,용인시,70,남,136293,3004861843,924,39704064,22047
2023,용인시,70,여,137775,3273395925,1039,42855950,23759
2023,용인시,80,남,29602,622682184,220,7929648,21035
2023,용인시,80,여,23562,542932924,206,8971007,23043
2023,용인시,기타,-,202407,5782384460,1566,68249261,28568
2023,의왕시,10,남,15799,299579424,60,1443756,18962
2023,의왕시,10,여,15721,294832538,87,2577757,18754
2023,의왕시,20,남,110949,1694094747,706,21901624,15269
2023,의왕시,20,여,119672,2006290736,802,25125363,16765
2023,의왕시,30,남,120204,2583672800,950,47260937,21494
2023,의왕시,30,여,176314,4207430361,1203,56607068,23863
2023,의왕시,40,남,190183,5323313661,1330,71444466,27990
2023,의왕시,40,여,276361,7238295351,1992,86883194,26191
2023,의왕시,50,남,138652,2838028578,931,39923992,20469
2023,의왕시,50,여,203077,3867237000,1381,43628134,19043
2023,의왕시,60,남,90534,1648655797,664,28330077,18210
2023,의왕시,60,여,123541,2288504912,994,28697365,18524
2023,의왕시,70,남,26058,466317022,230,9234650,17895
2023,의왕시,70,여,25972,468538049,191,6447935,18040
2023,의왕시,80,남,3444,50616357,23,557960,14697
2023,의왕시,80,여,4178,73439811,43,2331100,17578
2023,의왕시,기타,-,12883,303997913,98,2648197,23597
2023,의정부시,10,남,35392,837270368,225,10098204,23657
2023,의정부시,10,여,41960,983402377,286,12102008,23437
2023,의정부시,20,남,287231,4612870912,1706,38720202,16060
2023,의정부시,20,여,313826,5848381137,2616,70076669,18636
2023,의정부시,30,남,241695,5666651329,1493,61737123,23445
2023,의정부시,30,여,347835,9405492645,2757,113406290,27040
2023,의정부시,40,남,433567,13634536488,2527,116060855,31447
2023,의정부시,40,여,654282,19961347445,4906,209080717,30509
2023,의정부시,50,남,361514,7686342074,1853,61676709,21262
2023,의정부시,50,여,430217,8584311888,2845,84827463,19953
2023,의정부시,60,남,194447,3294378406,964,21282520,16942
2023,의정부시,60,여,234132,4180692628,1360,38500289,17856
2023,의정부시,70,남,61455,1073151329,312,7896900,17462
2023,의정부시,70,여,71843,1250522475,399,11082913,17406
2023,의정부시,80,남,11653,200565523,65,2059550,17211
2023,의정부시,80,여,11645,213985037,78,2189709,18376
2023,의정부시,기타,-,42118,895568219,269,8980881,21263
2023,이천시,10,남,33891,709054296,173,8524620,20922
2023,이천시,10,여,29944,840169710,176,8661651,28058
2023,이천시,20,남,229181,5432059078,1843,102985245,23702
2023,이천시,20,여,219639,5678398725,1837,86483000,25853
2023,이천시,30,남,439419,12567309119,4260,300933764,28600
2023,이천시,30,여,524604,17113737260,4380,278055442,32622
2023,이천시,40,남,687327,24748398012,5103,371364862,36007
2023,이천시,40,여,807894,29025996173,5866,367401958,35928
2023,이천시,50,남,481409,13543103906,3146,206232192,28132
2023,이천시,50,여,446104,12827257174,3414,172645261,28754
2023,이천시,60,남,227181,6065747812,1856,110011085,26700
2023,이천시,60,여,203292,5831093028,1750,94423048,28683
2023,이천시,70,남,47394,1286952222,356,17607165,27154
2023,이천시,70,여,43221,1237076426,376,21573369,28622
2023,이천시,80,남,8080,194232686,56,2705478,24039
2023,이천시,80,여,6007,185868686,52,2876079,30942
2023,이천시,기타,-,180498,5666755486,1364,52697028,31395
2023,파주시,10,남,72406,1848296980,348,14980870,25527
2023,파주시,10,여,74636,2062884207,447,23593060,27639
2023,파주시,20,남,475320,8651269084,2841,78383881,18201
2023,파주시,20,여,457716,9189894095,3530,101870186,20078
2023,파주시,30,남,943978,22498919825,5934,232938757,23834
2023,파주시,30,여,906304,23564424572,6642,280840551,26001
2023,파주시,40,남,1287655,37283741777,7531,332528813,28955
2023,파주시,40,여,1328786,36877972362,8976,368223280,27753
2023,파주시,50,남,914149,19796425244,4762,149904072,21656
2023,파주시,50,여,709054,15321049058,4844,148012965,21608
2023,파주시,60,남,390635,7852808499,2258,61789753,20103
2023,파주시,60,여,276249,6363544971,2091,65480343,23036
2023,파주시,70,남,83479,1851173939,544,16220950,22175
2023,파주시,70,여,70169,1700232912,529,16929384,24231
2023,파주시,80대 이상,남,17902,360756994,120,4033310,20152
2023,파주시,80대 이상,여,18266,388676672,117,3153040,21279
2023,파주시,기타,-,856090,19303803748,5812,168431974,22549
2023,평택시,10,남,60903,1449458918,307,15502260,23799
2023,평택시,10,여,63602,1641494720,436,22829595,25809
2023,평택시,20,남,493147,9085966333,3627,145948563,18424
